JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,21/06/2024,00:50:08,W,N,Overcast,30,10,Buss,False
Elm Avenue/Rabbit Road,21/06/2024,00:45:24,S,E,Overcast,30,32,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,00:02:38,S,S,Overcast,30,33,Car,False
Elm Avenue/Rabbit Road,21/06/2024,00:35:44,N,E,Overcast,30,3,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,00:49:42,S,S,Overcast,30,19,Van,False
Elm Avenue/Rabbit Road,21/06/2024,00:10:20,W,N,Overcast,30,18,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,00:03:06,S,S,Overcast,30,2,Motorcycle,True
Elm Avenue/Rabbit Road,21/06/2024,00:21:43,N,E,Overcast,30,13,Car,True
Elm Avenue/Rabbit Road,21/06/2024,00:45:50,W,W,Overcast,30,10,Car,True
Elm Avenue/Rabbit Road,21/06/2024,00:14:56,N,E,Overcast,30,1,Car,True
Elm Avenue/Rabbit Road,21/06/2024,00:41:25,W,N,Overcast,30,3,Bicycle,True
Hanley Highway/Westway,21/06/2024,00:16:14,NW,SE,Overcast,20,15,Bicycle,True
Hanley Highway/Westway,21/06/2024,00:48:15,SW,NW,Overcast,20,6,Scooter,True
Hanley Highway/Westway,21/06/2024,00:40:53,SW,NW,Overcast,20,16,Bicycle,True
Hanley Highway/Westway,21/06/2024,00:25:56,NW,SE,Overcast,20,14,Bicycle,True
Hanley Highway/Westway,21/06/2024,00:59:05,SW,SE,Overcast,20,7,Truck,False
Hanley Highway/Westway,21/06/2024,00:07:40,SW,SW,Overcast,20,25,Van,False
Hanley Highway/Westway,21/06/2024,00:05:49,NW,SW,Overcast,20,25,Car,False
Hanley Highway/Westway,21/06/2024,00:06:16,SW,SW,Overcast,20,11,Car,True
Hanley Highway/Westway,21/06/2024,00:28:29,NW,NW,Overcast,20,17,Van,False
Hanley Highway/Westway,21/06/2024,00:21:11,SW,SW,Overcast,20,27,Bicycle,True
Hanley Highway/Westway,21/06/2024,00:33:49,SW,SW,Overcast,20,23,Buss,True
Hanley Highway/Westway,21/06/2024,00:32:22,NW,NW,Overcast,20,16,Car,False
Hanley Highway/Westway,21/06/2024,00:19:22,SW,SW,Overcast,20,7,Motorcycle,False
Hanley Highway/Westway,21/06/2024,00:58:24,SW,SE,Overcast,20,18,Van,False
Elm Avenue/Rabbit Road,21/06/2024,01:50:42,S,S,Overcast,30,8,Car,False
Elm Avenue/Rabbit Road,21/06/2024,01:56:20,S,W,Overcast,30,33,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,01:07:58,N,N,Overcast,30,24,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,01:28:08,N,N,Overcast,30,31,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,01:00:33,W,W,Overcast,30,25,Van,True
Elm Avenue/Rabbit Road,21/06/2024,01:37:58,N,W,Overcast,30,23,Car,True
Elm Avenue/Rabbit Road,21/06/2024,01:03:02,N,E,Overcast,30,12,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,01:08:09,W,S,Overcast,30,17,Buss,False
Elm Avenue/Rabbit Road,21/06/2024,01:42:15,S,W,Overcast,30,24,Car,False
Hanley Highway/Westway,21/06/2024,01:55:25,SW,SW,Overcast,20,17,Van,False
Hanley Highway/Westway,21/06/2024,01:57:12,NE,SE,Overcast,20,15,Car,False
Hanley Highway/Westway,21/06/2024,01:03:14,SW,SW,Overcast,20,13,Buss,False
Hanley Highway/Westway,21/06/2024,01:53:49,SW,SE,Overcast,20,6,Buss,False
Hanley Highway/Westway,21/06/2024,01:24:24,SW,SW,Overcast,20,6,Bicycle,False
Hanley Highway/Westway,21/06/2024,01:45:34,NW,SW,Overcast,20,5,Van,False
Hanley Highway/Westway,21/06/2024,01:07:22,NW,NW,Overcast,20,13,Car,False
Hanley Highway/Westway,21/06/2024,01:48:26,SW,SE,Overcast,20,11,Truck,False
Hanley Highway/Westway,21/06/2024,01:16:49,NE,NE,Overcast,20,15,Car,True
Hanley Highway/Westway,21/06/2024,01:46:25,SW,NW,Overcast,20,11,Car,True
Hanley Highway/Westway,21/06/2024,01:50:48,SW,NW,Overcast,20,8,Car,False
Hanley Highway/Westway,21/06/2024,01:59:32,NE,NW,Overcast,20,10,Car,False
Hanley Highway/Westway,21/06/2024,01:58:26,SW,SE,Overcast,20,3,Bicycle,True
Hanley Highway/Westway,21/06/2024,01:41:29,NE,NE,Overcast,20,19,Truck,False
Hanley Highway/Westway,21/06/2024,01:39:06,SE,SE,Overcast,20,11,Bicycle,True
Hanley Highway/Westway,21/06/2024,01:58:11,SW,SW,Overcast,20,18,Car,True
Hanley Highway/Westway,21/06/2024,01:48:34,SE,NE,Overcast,20,3,Buss,False
Hanley Highway/Westway,21/06/2024,01:15:16,NW,SW,Overcast,20,14,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,02:15:52,S,S,Overcast,30,21,Van,False
Elm Avenue/Rabbit Road,21/06/2024,02:38:32,N,N,Overcast,30,1,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,02:38:07,N,N,Overcast,30,23,Car,False
Elm Avenue/Rabbit Road,21/06/2024,02:25:46,N,E,Overcast,30,15,Van,False
Elm Avenue/Rabbit Road,21/06/2024,02:45:58,S,E,Overcast,30,2,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,02:26:00,N,E,Overcast,30,11,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,02:13:49,S,E,Overcast,30,15,Car,True
Elm Avenue/Rabbit Road,21/06/2024,02:00:04,N,W,Overcast,30,1,Car,True
Elm Avenue/Rabbit Road,21/06/2024,02:46:22,N,N,Overcast,30,33,Van,False
Elm Avenue/Rabbit Road,21/06/2024,02:15:28,N,N,Overcast,30,12,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,02:23:00,W,W,Overcast,30,21,Car,False
Elm Avenue/Rabbit Road,21/06/2024,02:15:48,E,E,Overcast,30,6,Van,False
Elm Avenue/Rabbit Road,21/06/2024,02:45:54,S,S,Overcast,30,12,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,02:49:07,E,S,Overcast,30,34,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,02:05:10,S,W,Overcast,30,17,Truck,False
Hanley Highway/Westway,21/06/2024,02:29:14,SW,NW,Overcast,20,10,Scooter,True
Hanley Highway/Westway,21/06/2024,02:06:20,SW,SW,Overcast,20,14,Car,False
Hanley Highway/Westway,21/06/2024,02:08:25,NE,SE,Overcast,20,2,Buss,False
Hanley Highway/Westway,21/06/2024,02:11:53,SW,NW,Overcast,20,27,Bicycle,False
Hanley Highway/Westway,21/06/2024,02:00:33,SW,SW,Overcast,20,24,Car,False
Hanley Highway/Westway,21/06/2024,02:02:18,SW,SW,Overcast,20,24,Bicycle,False
Hanley Highway/Westway,21/06/2024,02:39:39,SW,SE,Overcast,20,26,Car,False
Hanley Highway/Westway,21/06/2024,02:11:09,SW,NW,Overcast,20,1,Truck,False
Hanley Highway/Westway,21/06/2024,02:28:51,NE,NE,Overcast,20,2,Buss,False
Hanley Highway/Westway,21/06/2024,02:32:29,NE,NE,Overcast,20,25,Buss,False
Hanley Highway/Westway,21/06/2024,02:37:17,SW,SW,Overcast,20,23,Scooter,True
Hanley Highway/Westway,21/06/2024,02:35:34,NE,NE,Overcast,20,9,Bicycle,True
Hanley Highway/Westway,21/06/2024,02:02:00,SW,NW,Overcast,20,13,Truck,False
Hanley Highway/Westway,21/06/2024,02:39:01,SW,SW,Overcast,20,19,Bicycle,True
Hanley Highway/Westway,21/06/2024,02:40:44,SW,NW,Overcast,20,13,Bicycle,True
Hanley Highway/Westway,21/06/2024,02:01:28,SW,NW,Overcast,20,9,Van,False
Hanley Highway/Westway,21/06/2024,02:26:39,NW,SW,Overcast,20,26,Van,False
Hanley Highway/Westway,21/06/2024,02:03:03,SE,NE,Overcast,20,19,Van,False
Elm Avenue/Rabbit Road,21/06/2024,03:24:03,W,W,Light Rain,30,25,Car,True
Elm Avenue/Rabbit Road,21/06/2024,03:21:28,E,N,Light Rain,30,26,Car,True
Elm Avenue/Rabbit Road,21/06/2024,03:41:59,N,N,Light Rain,30,17,Car,False
Elm Avenue/Rabbit Road,21/06/2024,03:57:09,W,N,Light Rain,30,33,Van,False
Elm Avenue/Rabbit Road,21/06/2024,03:20:49,E,E,Light Rain,30,11,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,03:51:22,N,W,Light Rain,30,32,Car,False
Elm Avenue/Rabbit Road,21/06/2024,03:10:36,N,W,Light Rain,30,23,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,03:53:27,S,E,Light Rain,30,27,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,03:02:18,E,N,Light Rain,30,9,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,03:00:36,E,N,Light Rain,30,23,Car,False
Elm Avenue/Rabbit Road,21/06/2024,03:08:09,E,N,Light Rain,30,23,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,03:06:32,W,S,Light Rain,30,23,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,03:31:22,E,N,Light Rain,30,2,Van,False
Elm Avenue/Rabbit Road,21/06/2024,03:25:00,S,W,Light Rain,30,2,Truck,False
